,Fonte,Sexo,Local,Taxa de desocupação,Nível da ocupação,Participação,Renda habitual total,Renda habitual principal,Renda efetiva total,Renda efetiva principal
139,4° Tri. 2019,Homem,Ceará,9.25,61.61,67.89,2470.91,2364.59,2488.41,2387.36
140,4° Tri. 2019,Mulher,Ceará,11.71,42.44,48.07,2122.95,2018.34,2167.46,2062.16
141,4° Tri. 2019,,Nordeste,13.77,48.07,55.75,2210.69,2121.74,2259.59,2171.24
142,4° Tri. 2019,Homem,Nordeste,11.75,58.37,66.14,2351.59,2261.42,2397.62,2309.86
143,4° Tri. 2019,Mulher,Nordeste,16.46,38.55,46.15,2008.23,1921.03,2061.26,1972.06
144,1° Tri. 2020,,Brasil,12.37,54.79,62.53,3262.66,3161.89,3577.05,3479.99
145,1° Tri. 2020,Homem,Brasil,10.36,64.97,72.49,3607.87,3498.96,3938.59,3832.42
146,1° Tri. 2020,Mulher,Brasil,14.93,45.29,53.24,2792.55,2702.82,3084.71,3000.02
147,1° Tri. 2020,,Ceará,12.38,49.32,56.29,2247.62,2174.19,2495.53,2421.64
148,1° Tri. 2020,Homem,Ceará,11.31,58.69,66.18,2393.31,2326.0,2649.91,2586.34
149,1° Tri. 2020,Mulher,Ceará,13.8,40.56,47.05,2046.44,1964.53,2282.37,2194.18
150,1° Tri. 2020,,Nordeste,15.82,46.38,55.09,2237.0,2152.29,2429.48,2342.15
151,1° Tri. 2020,Homem,Nordeste,13.91,56.51,65.64,2385.13,2299.06,2572.58,2485.49
152,1° Tri. 2020,Mulher,Nordeste,18.4,36.96,45.29,2021.31,1938.53,2221.09,2133.4
153,2° Tri. 2020,,Brasil,13.58,49.35,57.11,3404.05,3305.66,3152.28,3068.26
154,2° Tri. 2020,Homem,Brasil,12.14,59.33,67.54,3727.21,3623.7,3454.47,3368.45
155,2° Tri. 2020,Mulher,Brasil,15.49,40.04,47.37,2949.04,2857.86,2726.79,2645.58
